company_name,id_port,port_name,country_code,lon,lat
ARKAS,10444,Casablanca,ma,-7.62451171875,33.578500091422
ARKAS,3190,Barcelona,es,2.16666666667,41.35
ARKAS,8955,Cagliari,it,9.11666666667,39.2166666667
ARKAS,8534,Ashdod,il,34.666292317675,31.8166666667
ARKAS,8540,Haifa,il,34.989013671875,32.796915345518
ARKAS,10413,Beirut,lb,35.486267089844,33.890880725099
ARKAS,11978,Constanta,ro,28.664263407423,44.171564927617
ARKAS,9216,Genova,it,8.9152623494433,44.414715832572
ARKAS,12491,Gemlik,tr,29.153371175097,40.436529274414
ARKAS,11950,Doha,qa,51.522503153516,25.29450847041
ARKAS,3506,Las Palmas,es,-15.4302978515625,28.1288741820008
ARKAS,10487,Marsaxlokk,mt,14.5333333333,35.8166666667
ARKAS,22690,Benghazi,ly,20.075405883789,32.118611621968
ARKAS,12540,Iskenderun,tr,36.168383280469,36.589398165892
ARKAS,12622,Mersin,tr,34.6166666667,36.793231581975
ARKAS,12541,Istanbul,tr,28.973220825195,41.006784452657
ARKAS,9274,Livorno,it,10.30259043379,43.550995316569
ARKAS,9696,La Spezia,it,9.8218475341796,44.098086480833
ARKAS,3027,Port Said,eg,32.2860717773437,31.2653126215176
ARKAS,12304,Sfax,tn,10.77197265625,34.740104583926
ARKAS,12038,Novorossiysk,ru,37.781982421875,44.741618624531
ARKAS,3012,Alexandria,eg,29.895505778028,31.19919276224
ARKAS,12307,Tunis,tn,10.202278137207,36.818354664715
ARKAS,3916,Valencia,es,-0.33027648925781,39.451070047087
ARKAS,544,Varna,bg,27.921660359667,43.206506712446
ARKAS,8114,Thessaloniki,gr,22.908426920606,40.638544031727
ARKAS,3014,El Dekheila,eg,29.8166666667,31.1333333333
ARKAS,9207,Gioia Tauro,it,15.893133544922,38.424726878542
ARKAS,12543,Izmir,tr,27.051086425781,38.373800706398
ARKAS,21243,Oran,dz,-0.649999999999998,35.7166666667
ARKAS,12303,Rades,tn,10.288795471191,36.775358814218
ARKAS,9609,Salerno,it,14.766822814941,40.676301324617
ARKAS,8083,Piraeus,gr,23.638139851855,37.950270725876
ARKAS,7884,Poti,ge,41.67197265625,42.178127650683
ARKAS,22712,Tangier,ma,-5.7980346679688,35.764077586903
ARKAS,12305,Sousse,tn,10.645193481445,35.818337038528
ARKAS,12489,Gebze,tr,29.427223205566,40.770439373793
ARKAS,815,Famagusta,cy,33.9422607421875,35.1273535727257
ARKAS,22745,Malta,mt,14.3426513671875,35.9463834895204
ARKAS,22694,Misurata,ly,15.126800537109,32.400479161327
ARKAS,9793,Vado Ligure,it,8.4378433227539,44.269233877388
ARKAS,3834,Santa Cruz de Tenerife,es,-16.248779296875,28.4840886914597
ARKAS,22697,Tripoli,ly,13.191573079394,32.893081475303
ARKAS,304,Odessa,ua,30.730773925781,46.5
ARKAS,22701,Agadir,ma,-9.556429036455,30.435613308181
ARKAS,12346,Antalya,tr,30.7666666667,36.8666666667
ARKAS,27654,Alger,dz,3.065035883589,36.786014235242
ARKAS,8844,Ancona,it,13.511860148145,43.620880848271
ARKAS,3204,Bilbao,es,-3.046989440918,43.339977491756
ARKAS,8016,Lavrion,gr,24.059800211622,37.704346193264
ARKAS,31099,Khoms,ly,14.245880126953,32.672930032815
ARKAS,12712,Samsun,tr,36.3333333,41.3166666
ARKAS,9557,Ravenna,it,12.22297668457,44.424174864907
ARKAS,9788,Venice,it,12.307740208398,45.435742477187
ARKAS,12520,Haydarpasa,tr,29.042946370409,40.982685393946
ARKAS,3745,Sagunto,es,-0.22078653971403,39.65317205105
ARKAS,3251,Castellon De La Plana,es,0.0094258626302235,39.9666666667
ARKAS,3832,Tarragona,es,1.2015604654982,41.098858364981
ARKAS,3120,Alicante,es,-0.48470662434863,38.341950668714
ARKAS,3123,Algeciras,es,-5.4381398518847,36.141096889493
ARKAS,11859,Leixoes,pt,-8.7059783935547,41.20106607302
ARKAS,11920,Setubal,pt,-8.9180399576856,38.519342879541
ARKAS,12129,Koper,si,13.734519449903,45.548652962696
ARKAS,9388,Napoli,it,14.260143534376,40.843073732839
STINNES,3392,El Ferrol,es,-8.2666666666699,43.468909199871
STINNES,19958,Durban,za,31.0166666667,-29.8666666667
